Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),BACK_SPACE:People Occupant Count [](Hourly),CORE_RETAIL:People Occupant Count [](Hourly),POINT_OF_SALE:People Occupant Count [](Hourly),FRONT_RETAIL:People Occupant Count [](Hourly),FRONT_ENTRY:People Occupant Count [](Hourly),Total People,CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) ,Total Cooling Rate [W],BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),Mean air Temperature [°C]
 06/01  14:00:00,28.1916666666666,983.333333333333,1,24.5367350234135,103.373673502341,9.74067495559502,9.74067495559502,0.775068625867915,148.166827062812,28431.9727445084,6023.55229001885,34455.5250345272,3742.6543778473,1261.82271514044,5004.47709298774,4791.18221440452,493.074140103386,5284.2563545079,5098.28033385406,493.221370989853,5591.50170484391,50335.7601868668,25.9592139676968,24.934835398454,25.9693959856444,24.671314880202,28.2318347535467,25.1563226759587
 06/01  15:00:00,29.25,961.166666666666,1,24.5367350234135,103.373673502341,9.74067495559502,9.74067495559502,0.775068625867915,148.166827062812,18632.9577029082,5886.68167268118,24519.6393755893,4088.00938752426,1221.15240085122,5309.16178837548,4682.33865515619,475.121424725822,5157.46007988201,3062.61687279428,476.04037263221,3538.65724542649,38524.9184892733,25.9199511471146,25.4575717700251,25.9231767091618,25.3807383716747,29.1613678962967,25.5602382463192
 06/01  16:00:00,29.7916666666666,918.166666666666,1,24.5367350234135,103.373673502341,9.74067495559502,9.74067495559502,0.775068625867915,148.166827062812,18286.1998418937,5906.14560659047,24192.3454484841,4259.05007968189,1237.76944529704,5496.81952497892,4466.41524783502,482.178415392445,4948.59366322746,2787.84809937957,483.250231229891,3271.09833060946,37908.8569672999,25.9171672167032,25.7564837841683,25.9039328872029,25.6548177649236,29.6164585802785,25.786258989734
 06/01  17:00:00,30.3499999999999,846.916666666666,1,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,7063.69190873723,2947.1695213283,10010.8614300655,1742.43488914968,548.375537615441,2290.81042676512,1886.73832449092,210.667659662129,2097.40598415304,1176.28968349062,210.80313736849,1387.09282085911,15786.1706618428,26.4480993642885,26.3933437214815,27.0149546416139,26.4586691448616,30.0647956376601,26.4478561329189
 06/01  18:00:00,29.6083333333333,599.5,1,6.13418375585338,25.8434183755853,2.43516873889875,2.43516873889875,0.193767156466978,37.0417067657032,12792.6911774229,1323.74848167329,14116.4396590962,3558.04976634227,94.7579117248112,3652.80767806708,4077.43713059273,27.7164028369408,4105.15353342967,2490.07685522765,27.7167030554923,2517.79355828314,24392.1944288761,25.8681621027786,25.8599500042727,25.5663736189068,25.5862609068128,29.089302942082,25.8238286652424
 06/01  19:00:00,27.9666666666666,80.7499999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.031585895454,25.8924749636555,26.4325624950451,26.1326403443233,27.8857424657772,25.9671972569897
 06/01  20:00:00,26.3083333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0772509366081,25.9493567846343,26.8163588027269,26.2692383688013,26.9211447499249,26.0490844683666
 06/01  21:00:00,24.375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8182338414382,25.7453662025611,26.5195748018516,25.9265783760654,26.330209780388,25.82063691005
 06/01  22:00:00,22.3333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.533665633932,25.5226170003424,26.1820863267196,25.5666892866227,25.8339080395542,25.5709507215683
 06/01  23:00:00,20.275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2783103402269,25.3116243929416,25.8547032944422,25.2312283158274,25.4012071876537,25.3366554416878
