Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),BACK_SPACE:People Occupant Count [](Hourly),CORE_RETAIL:People Occupant Count [](Hourly),POINT_OF_SALE:People Occupant Count [](Hourly),FRONT_RETAIL:People Occupant Count [](Hourly),FRONT_ENTRY:People Occupant Count [](Hourly),Total People,CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) ,Total Cooling Rate [W],BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),Mean air Temperature [°C]
 06/01  01:00:00,16.6666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8767369418777,24.985095565034,25.2945255479309,24.7188421117338,24.6983067613338,24.9699100724587
 06/01  02:00:00,14.7083333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5992936157831,24.7459244358879,24.8982171283174,24.3279210822666,24.2413227793818,24.7039544367133
 06/01  03:00:00,14.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3492573362773,24.5221444285805,24.5755836481739,24.0049835380315,23.8739940074862,24.4627176478405
 06/01  04:00:00,13.4916666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1339935063076,24.3277412849185,24.2979431598086,23.722812331223,23.5487114827538,24.2535406445012
 06/01  05:00:00,12.675,38.8333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9429813906243,24.1499855966529,24.0445618281829,23.4641316038058,23.2551072311592,24.0632322643981
 06/01  06:00:00,13.0583333333333,443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9092837862322,24.0298826735965,23.9251244011856,23.339657989977,23.1436600812486,23.9572686966873
 06/01  07:00:00,14.7666666666666,604.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0006791339541,24.1059095569431,24.1065327201651,23.4963257536623,23.3718831121003,24.0481475397755
 06/01  08:00:00,16.8833333333333,729.75,1,0,0,0,0,0,0,0,5084.49470791767,5084.49470791767,0,3401.49163923544,3401.49163923544,0,1449.55277739382,1449.55277739382,0,1435.64065026396,1435.64065026396,11371.1797748109,24.2432708540021,24.351480337852,24.5387013219005,23.9112957251883,21.2705530849421,24.3167488860722
 06/01  09:00:00,18.9666666666666,877.333333333333,1,6.13418375585338,25.8434183755853,2.43516873889875,2.43516873889875,0.193767156466978,37.0417067657032,1734.43878656083,0,1734.43878656083,403.237491671716,0,403.237491671716,176.584406721234,0,176.584406721234,127.49380999878,0,127.49380999878,2441.75449495256,24.6643073695117,24.7883239971462,25.3107301533787,24.5281709695234,21.9024681444119,24.7850098045855
 06/01  10:00:00,21.025,964.666666666666,1,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,2643.59841303103,0,2643.59841303103,600.708186667749,3.58335819619372,604.291544863943,1196.92213311288,154.644081452934,1351.56621456581,198.569778675077,0,198.569778675077,4798.02595113586,25.3421301884877,25.5496130765632,25.9835073846509,25.4607553729781,23.1667313338283,25.5378747902891
 06/01  11:00:00,23.0666666666666,999.583333333333,1,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,6022.11129192078,2431.25851935154,8453.36981127232,691.764019287196,196.280274438038,888.044293725234,2209.71080933349,237.292584907331,2447.00339424083,953.13753956085,189.253116721447,1142.39065628229,12930.8081555207,25.9180417415115,25.9997979694256,25.9999999999419,25.9998245767817,24.7090984218875,25.9862028131271
 06/01  12:00:00,24.8916666666666,1001.16666666666,1,24.5367350234135,103.373673502341,9.74067495559502,9.74067495559502,0.775068625867915,148.166827062812,12916.5086262009,5974.87497006963,18891.3835962705,2579.45263634909,1304.27285732368,3883.72549367278,3846.08770380252,511.744822007604,4357.83252581012,2184.97765828075,512.397726447694,2697.37538472844,29830.3170004818,25.9999999998175,26,25.9999999999999,25.9999999999999,25.2489276994821,25.9999999999696
 06/01  13:00:00,26.5333333333333,998.333333333333,1,24.5367350234135,103.373673502341,9.74067495559502,9.74067495559502,0.775068625867915,148.166827062812,15707.355964515,5934.34827077361,21641.7042352886,3216.30238603371,1270.42071850672,4486.72310454044,4527.21813065375,496.049521738249,5023.267652392,2840.88354767544,497.115229505477,3337.99877718092,34489.693769402,26,26,26,25.9999999999999,26.7428241333852,26
 06/01  14:00:00,28.1916666666666,983.333333333333,1,24.5367350234135,103.373673502341,9.74067495559502,9.74067495559502,0.775068625867915,148.166827062812,17358.600901766,6023.55229001885,23382.1531917848,3742.6543778473,1261.82271514044,5004.47709298774,4791.18221440452,493.074140103386,5284.25635450791,3112.65821742139,493.221370989853,3605.87958841124,37276.7662276917,26,25.9999999999999,25.9999999999999,26,28.2434220288786,25.9999999999999
